game_id,date,home_team,away_team,home_score,away_score,status
153011,2024-03-11T20:05:00+00:00,Cleveland Guardians,Los Angeles Dodgers,5.0,1.0,Finished
153007,2024-03-11T20:10:00+00:00,Los Angeles Angels,Texas Rangers,5.0,15.0,Finished
153008,2024-03-11T20:10:00+00:00,Arizona Diamondbacks,Oakland Athletics,5.0,6.0,Finished
153013,2024-03-11T20:10:00+00:00,Seattle Mariners,San Diego Padres,3.0,13.0,Finished
153015,2024-03-11T22:10:00+00:00,New York Mets,Miami Marlins,0.0,1.0,Finished
153021,2024-03-12T17:05:00+00:00,Detroit Tigers,Minnesota Twins,1.0,0.0,Finished
153022,2024-03-12T17:05:00+00:00,Pittsburgh Pirates,Atlanta Braves,5.0,1.0,Finished
153025,2024-03-12T17:05:00+00:00,Boston Red Sox,St.Louis Cardinals,6.0,8.0,Finished
153026,2024-03-12T17:05:00+00:00,Baltimore Orioles,Tampa Bay Rays,12.0,8.0,Finished
153016,2024-03-12T17:07:00+00:00,Toronto Blue Jays,New York Yankees,8.0,1.0,Finished
153023,2024-03-12T17:10:00+00:00,Miami Marlins,Houston Astros,1.0,9.0,Finished
153017,2024-03-12T20:05:00+00:00,Los Angeles Dodgers,San Francisco Giants,6.0,4.0,Finished
153018,2024-03-12T20:05:00+00:00,Oakland Athletics,Seattle Mariners,4.0,2.0,Finished
153019,2024-03-12T20:05:00+00:00,Texas Rangers,Cleveland Guardians,0.0,3.0,Finished
153020,2024-03-12T20:10:00+00:00,San Diego Padres,Arizona Diamondbacks,2.0,2.0,Finished
